timestamp,first_cell_year,was_smartphone,birth_year,generation
"2022/02/09 2:40:11 PM EST","2015","No","2001","Gen Z"
"2022/02/09 2:42:55 PM EST","2006","No","1996","Millennial"
"2022/02/09 2:47:27 PM EST","2016","Yes","2001","Gen Z"
"2022/02/09 2:49:25 PM EST","2008","No","1994","Millennial"
"2022/02/09 2:50:05 PM EST","2006","No","1987","Millennial"
"2022/02/09 2:51:28 PM EST","2004","No","1990","Millennial"
"2022/02/09 2:52:44 PM EST","2007","No","1994","Both"
"2022/02/09 2:52:46 PM EST","2013","No","2000","Gen Z"
"2022/02/09 2:55:51 PM EST","2014","No","1998","Gen Z"
"2022/02/09 2:56:11 PM EST","2006","No","1996","Millennial"
"2022/02/09 2:57:06 PM EST","2010","No","1997","Gen Z"
"2022/02/09 3:00:53 PM EST","2015","Yes","2001","Gen Z"
"2022/02/09 3:01:09 PM EST","2018","Yes","2006","Gen Z"
"2022/02/09 3:01:27 PM EST","2003","No","1983","Millennial"
"2022/02/09 3:04:28 PM EST","2001","No","1981","Millennial"
"2022/02/09 3:04:37 PM EST","2013","Yes","1999","Millennial"
"2022/02/09 3:05:23 PM EST","1996","No","1982","Gen X"
"2022/02/09 3:18:17 PM EST","2013","No","2002","Millennial"
"2022/02/09 3:19:28 PM EST","2016","Yes","2007","Gen Z"
"2022/02/09 3:20:53 PM EST","2008","No","1996","Millennial"
"2022/02/09 3:22:36 PM EST","2009","No","1992","Millennial"
"2022/02/09 3:24:15 PM EST","2004","No","1996","Millennial"
"2022/02/09 3:25:02 PM EST","2005","No","1992","Millennial"
"2022/02/09 3:25:33 PM EST","2016","Yes","2000","Gen Z"
"2022/02/09 3:27:55 PM EST","2007","No","1998","Gen Z"
"2022/02/09 3:32:39 PM EST","2012","No","1999","Gen Z"
"2022/02/09 3:34:40 PM EST","2015","Yes","2003","Gen Z"
"2022/02/09 3:35:23 PM EST","2013","No","1999","Gen Z"
"2022/02/09 3:36:08 PM EST","2006","No","1997","Gen Z"
"2022/02/09 3:45:59 PM EST","2015","Yes","2004","Gen Z"
"2022/02/09 3:47:38 PM EST","2013","Yes","2000","Gen Z"
"2022/02/09 3:54:12 PM EST","2007","No","1995","Millennial"
"2022/02/09 3:54:26 PM EST","2010","Yes","2000","Gen Z"
"2022/02/09 3:56:36 PM EST","2012","Yes","1997","Gen Z"
"2022/02/09 3:57:21 PM EST","2012","Yes","2000","Gen Z"
"2022/02/09 3:57:58 PM EST","2012","No","2000","Gen Z"
"2022/02/09 4:04:28 PM EST","2016","Yes","2003","Gen Z"
"2022/02/09 4:06:56 PM EST","2011","No","1999","Combination of Millennial and Z- a Zillenial If you will "
"2022/02/09 4:09:39 PM EST","2006","No","1994","Millennial"
"2022/02/09 4:12:42 PM EST","2016","Yes","2002","Gen Z"
"2022/02/09 4:16:00 PM EST","2009","No","2000","Gen Z"
"2022/02/09 4:24:07 PM EST","2002","No","1984","Millennial"
